task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
57	b7/b3e744	20419	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5743893)	COMPLETED	0	2025-04-19 18:48:19.190	2.8s	1s	214.6%	100.9 MB	2 GB	4.7 MB	4.6 MB
58	ba/6890da	20680	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5181310)	COMPLETED	0	2025-04-19 18:48:22.070	14.7s	13s	203.2%	744 MB	2 GB	32.9 MB	32.7 MB
59	3c/27d1c7	21431	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR13500958)	COMPLETED	0	2025-04-19 18:48:36.838	3.7s	1s	200.0%	74.4 MB	1.9 GB	5.2 MB	5.1 MB
61	0e/16aeef	21695	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5405022)	COMPLETED	0	2025-04-19 18:48:40.548	1.9s	0ms	166.1%	6.5 MB	220.9 MB	7.5 MB	5 KB
60	ad/a938c0	21898	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5405022)	COMPLETED	0	2025-04-19 18:48:42.498	12.1s	10s	141.1%	80.6 MB	119.3 MB	59.9 MB	52.3 MB
63	b2/135841	22848	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5556343)	COMPLETED	0	2025-04-19 18:48:54.674	17.1s	16s	158.5%	151.4 MB	222.9 MB	113.3 MB	105.9 MB
62	93/45ed05	23880	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5556343)	COMPLETED	0	2025-04-19 18:49:11.850	2.2s	1s	197.6%	6.5 MB	220.9 MB	7.3 MB	5 KB
65	e8/89a5e9	24083	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5743893)	COMPLETED	0	2025-04-19 18:49:14.125	2.1s	0ms	155.8%	6.6 MB	220.9 MB	4.7 MB	5 KB
64	75/adb8c8	24285	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5743893)	COMPLETED	0	2025-04-19 18:49:16.291	17.8s	16s	148.8%	85.4 MB	124.7 MB	71.9 MB	67.2 MB
67	c8/a5c1a2	25315	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5181310)	COMPLETED	0	2025-04-19 18:49:34.190	1m 24s	1m 22s	163.3%	1 GB	1.6 GB	558.6 MB	525.7 MB
66	cc/07a7ca	27386	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5181310)	COMPLETED	0	2025-04-19 18:50:58.534	4.9s	2s	191.0%	6.7 MB	220.9 MB	32.8 MB	5 KB
